Date,Day,Branch,Open,Close,Reason,ReturnChutesOpen
2025-04-25,Friday,Tuggeranong,,,ANZAC Day,TRUE
2025-06-02,Monday,Dickson,,,Reconciliation Day,TRUE
2025-06-02,Monday,Gungahlin,,,Reconciliation Day,TRUE
2025-06-02,Monday,Woden,,,Reconciliation Day,TRUE
2025-06-02,Monday,Civic,,,Reconciliation Day,TRUE
2025-06-02,Monday,Erindale,,,Reconciliation Day,TRUE
2025-06-02,Monday,Belconnen,,,Reconciliation Day,TRUE
2025-06-02,Monday,Kingston,,,Reconciliation Day,TRUE
2025-06-02,Monday,Kippax,,,Reconciliation Day,TRUE
2025-06-02,Monday,Tuggeranong,,,Reconciliation Day,TRUE
2025-06-09,Monday,Dickson,,,King's Birthday,TRUE
2025-06-09,Monday,Gungahlin,,,King's Birthday,TRUE
2025-06-09,Monday,Woden,,,King's Birthday,TRUE
2025-06-09,Monday,Civic,,,King's Birthday,TRUE
2025-06-09,Monday,Erindale,,,King's Birthday,TRUE
2025-06-09,Monday,Belconnen,,,King's Birthday,TRUE
2025-06-09,Monday,Kingston,,,King's Birthday,TRUE
2025-06-09,Monday,Kippax,,,King's Birthday,TRUE
2025-06-09,Monday,Tuggeranong,,,King's Birthday,TRUE
2025-06-23,Monday,Dickson,,,Toilet upgrade works,FALSE
2025-06-24,Tuesday,Dickson,,,Toilet upgrade works,FALSE
2025-06-25,Wednesday,Dickson,,,Toilet upgrade works,FALSE
2025-06-26,Thursday,Dickson,,,Toilet upgrade works,FALSE
2025-06-27,Friday,Dickson,,,Toilet upgrade works,FALSE
2025-06-28,Saturday,Dickson,,,Toilet upgrade works,FALSE
2025-06-29,Sunday,Dickson,,,Toilet upgrade works,FALSE
2025-06-30,Monday,Dickson,,,Toilet upgrade works,FALSE
2025-07-01,Tuesday,Dickson,,,Toilet upgrade works,FALSE
2025-07-02,Wednesday,Dickson,,,Toilet upgrade works,FALSE
2025-07-03,Thursday,Dickson,,,Toilet upgrade works,FALSE
2025-07-04,Friday,Dickson,,,Toilet upgrade works,FALSE
2025-10-06,Monday,Dickson,,,Labour Day,TRUE
2025-10-06,Monday,Gungahlin,,,Labour Day,TRUE
2025-10-06,Monday,Woden,,,Labour Day,TRUE
2025-10-06,Monday,Civic,,,Labour Day,TRUE
2025-10-06,Monday,Erindale,,,Labour Day,TRUE
2025-10-06,Monday,Belconnen,,,Labour Day,TRUE
2025-10-06,Monday,Kingston,,,Labour Day,TRUE
2025-10-06,Monday,Kippax,,,Labour Day,TRUE
2025-10-06,Monday,Tuggeranong,,,Labour Day,TRUE
2025-12-01,Monday,Belconnen,,,Summer Hours 2025-6,TRUE
2025-12-01,Monday,Civic,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-01,Monday,Dickson,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-01,Monday,Erindale,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-01,Monday,Gungahlin,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-01,Monday,Kingston,,,Summer Hours 2025-6,TRUE
2025-12-01,Monday,Kippax,,,Summer Hours 2025-6,TRUE
2025-12-01,Monday,Tuggeranong,,,Summer Hours 2025-6,TRUE
2025-12-01,Monday,Woden,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-02,Tuesday,Belconnen,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-02,Tuesday,Civic,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-02,Tuesday,Dickson,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-02,Tuesday,Erindale,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-02,Tuesday,Gungahlin,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-02,Tuesday,Kingston,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-02,Tuesday,Kippax,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-02,Tuesday,Tuggeranong,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-02,Tuesday,Woden,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-03,Wednesday,Belconnen,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-03,Wednesday,Civic,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-03,Wednesday,Dickson,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-03,Wednesday,Erindale,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-03,Wednesday,Gungahlin,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-03,Wednesday,Kingston,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-03,Wednesday,Kippax,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-03,Wednesday,Tuggeranong,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-03,Wednesday,Woden,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-04,Thursday,Belconnen,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-04,Thursday,Civic,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-04,Thursday,Dickson,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-04,Thursday,Erindale,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-04,Thursday,Gungahlin,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-04,Thursday,Kingston,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-04,Thursday,Kippax,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-04,Thursday,Tuggeranong,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-04,Thursday,Woden,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-05,Friday,Belconnen,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-05,Friday,Civic,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-05,Friday,Dickson,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-05,Friday,Erindale,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-05,Friday,Gungahlin,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-05,Friday,Kingston,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-05,Friday,Kippax,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-05,Friday,Tuggeranong,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-05,Friday,Woden,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-06,Saturday,Belconnen,10:00,16:00,Summer Hours 2025-6,TRUE
2025-12-06,Saturday,Civic,,,Summer Hours 2025-6,TRUE
2025-12-06,Saturday,Dickson,10:00,16:00,Summer Hours 2025-6,TRUE
2025-12-06,Saturday,Erindale,,,Summer Hours 2025-6,TRUE
2025-12-06,Saturday,Gungahlin,10:00,16:00,Summer Hours 2025-6,TRUE
2025-12-06,Saturday,Kingston,10:00,16:00,Summer Hours 2025-6,TRUE
2025-12-06,Saturday,Kippax,10:00,16:00,Summer Hours 2025-6,TRUE
2025-12-06,Saturday,Tuggeranong,10:00,16:00,Summer Hours 2025-6,TRUE
2025-12-06,Saturday,Woden,10:00,16:00,Summer Hours 2025-6,TRUE
2025-12-07,Sunday,Belconnen,,,Summer Hours 2025-6,TRUE
2025-12-07,Sunday,Civic,,,Summer Hours 2025-6,TRUE
2025-12-07,Sunday,Dickson,,,Summer Hours 2025-6,TRUE
2025-12-07,Sunday,Erindale,,,Summer Hours 2025-6,TRUE
2025-12-07,Sunday,Gungahlin,,,Summer Hours 2025-6,TRUE
2025-12-07,Sunday,Kingston,,,Summer Hours 2025-6,TRUE
2025-12-07,Sunday,Kippax,,,Summer Hours 2025-6,TRUE
2025-12-07,Sunday,Tuggeranong,,,Summer Hours 2025-6,TRUE
2025-12-07,Sunday,Woden,,,Summer Hours 2025-6,TRUE
2025-12-08,Monday,Belconnen,,,Summer Hours 2025-6,TRUE
2025-12-08,Monday,Civic,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-08,Monday,Dickson,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-08,Monday,Erindale,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-08,Monday,Gungahlin,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-08,Monday,Kingston,,,Summer Hours 2025-6,TRUE
2025-12-08,Monday,Kippax,,,Summer Hours 2025-6,TRUE
2025-12-08,Monday,Tuggeranong,,,Summer Hours 2025-6,TRUE
2025-12-08,Monday,Woden,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-09,Tuesday,Belconnen,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-09,Tuesday,Civic,10:00,17:30,Summer Hours 2025-6,TRUE
